"unitid","name","year","institution_size_category","level_of_institution","institutional_category","total_enrollment","full_time_enrollment","part_time_enrollment","full_time_equivalent_fall_enrollment","undergraduate_enrollment","first_time_degree_certificate_seeking_undergraduate_enrollment","transfer_in_degree_certificate_seeking_undergraduate_enrollment","continuing_degree_certificate_seeking_undergraduate_enrollment","nondegree_certificate_seeking_undergraduate_enrollment","full_time_undergraduate_enrollment","full_time_first_time_degree_certificate_seeking_undergraduate_enrollment","full_time_transfer_in_degree_certificate_seeking_undergraduate_enrollment","full_time_continuing_degree_certificate_seeking_undergraduate_enrollment","full_time_nondegree_certificate_seeking_undergraduate_enrollment","part_time_undergraduate_enrollment","part_time_first_time_degree_certificate_seeking_undergraduate_enrollment","part_time_transfer_in_degree_certificate_seeking_undergraduate_enrollment","part_time_continuing_degree_certificate_seeking_undergraduate_enrollment","part_time_nondegree_certificate_seeking_undergraduate_enrollment","percent_of_total_enrollment_that_are_american_indian_or_alaska_native","percent_of_total_enrollment_that_are_asian","percent_of_total_enrollment_that_are_black_or_african_american","percent_of_total_enrollment_that_are_hispanic_latino","percent_of_total_enrollment_that_are_native_hawaiian_or_other_pacific_islander","percent_of_total_enrollment_that_are_white","percent_of_total_enrollment_that_are_two_or_more_races","percent_of_total_enrollment_that_are_race_ethnicity_unknown","percent_of_total_enrollment_that_are_nonresident_alien","percent_of_total_enrollment_that_are_asian_native_hawaiian_pacific_islander","percent_of_total_enrollment_that_are_women","full_time_first_time_degree_certificate_seeking_undergraduates_grs_cohort_as_percent_of_all_undergraduates","adult_age_25_64_enrollment_all_students","adult_age_25_64_enrollment_undergraduate","adult_age_25_64_enrollment_full_time_students","adult_age_25_64_enrollment_full_time_undergraduate","adult_age_25_64_enrollment_part_time_students","adult_age_25_64_enrollment_part_time_undergraduate","percent_of_students_enrolled_exclusively_in_distance_education_courses","percent_of_students_enrolled_in_some_but_not_all_distance_education_courses","percent_of_students_not_enrolled_in_any_distance_education_courses","number_of_first_time_undergraduates__in_state","percent_of_first_time_undergraduates__in_state","percent_of_first_time_undergraduates__out_of_state","number_of_first_time_undergraduates__foreign_countries","percent_of_first_time_undergraduates__foreign_countries","number_of_first_time_undergraduates__residence_unknown","percent_of_first_time_undergraduates__residence_unknown","student_to_faculty_ratio","degree_of_urbanization_urban_centric_locale_"
108667,"College of Alameda",2014,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",5796,880,4916,2530,5796,696,1161,3323,616,880,205,113,534,28,4916,491,1048,2789,588,0,0.3,0.22,0.22,0,0.15,0.05,0.05,0.01,0.31,0.55,0.04,2394,2394,265,265,2129,2129,0.2,0.1,0.7,646,0.93,0,10,0.01,40,0.06,27,"Suburb: Large"
108807,"Allan Hancock College",2014,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",11047,3363,7684,5943,11047,1737,771,7230,1309,3363,870,188,2224,81,7684,867,583,5006,1228,0.01,0.04,0.03,0.53,0,0.35,0.03,0,0,0.05,0.51,0.08,3955,3955,628,628,3327,3327,0.14,0.17,0.69,1686,0.97,0.02,14,0.01,1,0,24,"City: Small"
109208,"American River College",2014,"20,000 and above","At least 2 but less than 4 years","Degree-granting, associate's and certificates",29133,7120,22013,14511,29133,3570,3150,20083,2330,7120,1340,479,5025,276,22013,2230,2671,15058,2054,0.01,0.11,0.1,0.21,0.01,0.46,0.06,0.04,0.01,0.12,0.54,0.05,14813,14813,2190,2190,12623,12623,0.11,0.17,0.72,3442,0.96,0,28,0.01,100,0.03,27,"Suburb: Large"
109350,"Antelope Valley Community College District",2014,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",14578,4410,10168,7824,14578,2081,711,9575,2211,4410,973,238,3079,120,10168,1108,473,6496,2091,0,0.03,0.21,0.46,0,0.23,0.05,0.01,0,0.03,0.59,0.07,5539,5539,1188,1188,4351,4351,0.03,0.11,0.86,2063,0.99,0,12,0.01,0,0,26,"Suburb: Large"
109819,"Bakersfield College",2014,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",18698,5940,12758,10223,18698,3333,939,12710,1716,5940,1718,295,3787,140,12758,1615,644,8923,1576,0,0.04,0.04,0.66,0,0.22,0.03,0.01,0,0.04,0.56,0.09,6282,6282,1068,1068,5214,5214,0.05,0.1,0.85,3292,0.99,0,17,0.01,24,0.01,32,"City: Large"
109907,"Barstow Community College",2014,"1,000 - 4,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",1859,403,1456,892,1859,354,158,1076,271,403,109,38,248,8,1456,245,120,828,263,0.01,0.03,0.14,0.44,0.01,0.3,0.06,0.01,0,0.04,0.57,0.06,658,658,126,126,532,532,0,0.02,0.97,342,0.97,0.03,0,0,0,0,29,"Town: Distant"
110246,"Butte College",2014,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",12161,5799,6362,7935,12161,1973,984,8207,997,5799,1290,526,3832,151,6362,683,458,4375,846,0.02,0.05,0.03,0.19,0,0.6,0.02,0.07,0.01,0.06,0.52,0.11,3846,3846,1358,1358,2488,2488,0.03,0.1,0.87,1861,0.94,0,48,0.02,64,0.03,24,"Rural: Distant"
110334,"Cabrillo College",2014,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",13594,4560,9034,7593,13594,1944,839,9640,1171,4560,1034,295,3129,102,9034,910,544,6511,1069,0,0.03,0.01,0.38,0,0.5,0.05,0.02,0.01,0.03,0.52,0.08,5708,5708,989,989,4719,4719,0.05,0.16,0.79,1848,0.95,0,33,0.02,63,0.03,25,"Suburb: Midsize"
111434,"Canada College",2014,"5,000 - 9,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",6498,1100,5398,2912,6498,625,904,3613,1356,1100,247,104,699,50,5398,378,800,2914,1306,0,0.11,0.04,0.51,0.02,0.25,0.03,0.02,0.02,0.13,0.63,0.04,3154,3154,276,276,2878,2878,0.06,0.08,0.85,585,0.94,0,0,0,40,0.06,25,"Suburb: Large"
111461,"College of the Canyons",2014,"10,000 - 19,999","At least 2 but less than 4 years","Degree-granting, associate's and certificates",17148,6227,10921,9894,17148,2782,1227,11195,1944,6227,1609,489,3999,130,10921,1173,738,7196,1814,0,0.09,0.05,0.45,0,0.35,0.05,0,0.01,0.09,0.51,0.09,4564,4564,812,812,3752,3752,0.06,0.18,0.76,2683,0.96,0,49,0.02,50,0.02,27,"Suburb: Large"
